SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","10/21/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.007944","0.000168"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","10/22/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.007944","0.000168"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","10/23/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.007944","0.000168"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","10/24/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.007944","0.000168"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","10/25/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.007944","0.000168"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","10/26/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.007944","0.000168"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","10/27/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.007944","0.000168"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","10/28/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.007944","0.000168"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","10/29/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.007944","0.000168"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","10/30/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.007944","0.000168"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","10/31/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.007944","0.000168"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","11/1/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","11/2/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","11/3/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","11/4/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","11/5/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","11/6/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","11/7/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","11/8/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","11/9/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","11/10/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","11/11/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","11/12/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","11/13/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","11/14/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","11/15/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
